gender,age,emotion
"{'Woman': 98.94846081733704, 'Man': 1.051544863730669}",33,happy
"{'Woman': 96.17211818695068, 'Man': 3.827885538339615}",34,happy
"{'Woman': 99.36079978942871, 'Man': 0.6392063107341528}",33,happy
"{'Woman': 97.7113127708435, 'Man': 2.288690209388733}",33,happy
"{'Woman': 99.15195107460022, 'Man': 0.8480527438223362}",33,happy
"{'Woman': 99.02890920639038, 'Man': 0.9710934013128281}",33,happy
"{'Woman': 99.3861436843872, 'Man': 0.6138557568192482}",32,happy
"{'Woman': 95.59884071350098, 'Man': 4.401156306266785}",32,sad
"{'Woman': 97.5257396697998, 'Man': 2.4742597714066505}",34,happy
"{'Woman': 97.38556742668152, 'Man': 2.614433132112026}",33,happy
"{'Woman': 97.77660369873047, 'Man': 2.223392017185688}",32,fear
"{'Woman': 99.20560717582703, 'Man': 0.7943952456116676}",32,neutral
"{'Woman': 98.29650521278381, 'Man': 1.7034998163580894}",33,fear
"{'Woman': 97.58455157279968, 'Man': 2.415449172258377}",33,fear
"{'Woman': 98.84839653968811, 'Man': 1.1516038328409195}",32,neutral
"{'Woman': 98.08144569396973, 'Man': 1.9185537472367287}",32,neutral
"{'Woman': 97.77577519416809, 'Man': 2.224224805831909}",33,neutral
"{'Woman': 97.96282649040222, 'Man': 2.0371731370687485}",33,neutral
"{'Woman': 96.46517634391785, 'Man': 3.534817323088646}",34,fear
"{'Woman': 98.71754050254822, 'Man': 1.2824607081711292}",34,neutral
"{'Woman': 98.38714599609375, 'Man': 1.6128605231642723}",34,neutral
"{'Woman': 98.46654534339905, 'Man': 1.5334595926105976}",34,neutral
"{'Woman': 98.71832132339478, 'Man': 1.2816822156310081}",34,neutral
"{'Woman': 99.10564422607422, 'Man': 0.8943582884967327}",35,neutral
"{'Woman': 98.04611802101135, 'Man': 1.9538814201951027}",33,fear
"{'Woman': 98.3070433139801, 'Man': 1.6929524019360542}",33,neutral
"{'Woman': 99.3740975856781, 'Man': 0.6259050220251083}",33,neutral
"{'Woman': 99.51830506324768, 'Man': 0.4816899076104164}",35,surprise
"{'Woman': 98.38257431983948, 'Man': 1.6174271702766418}",34,surprise
"{'Woman': 99.40178394317627, 'Man': 0.5982167087495327}",34,surprise
"{'Woman': 98.92465472221375, 'Man': 1.0753448121249676}",33,surprise
"{'Woman': 99.89305138587952, 'Man': 0.10694344528019428}",34,fear
"{'Woman': 85.97854971885681, 'Man': 14.021451771259308}",33,happy
"{'Woman': 21.853062510490417, 'Man': 78.14694046974182}",37,happy
"{'Woman': 98.46773147583008, 'Man': 1.532266940921545}",34,happy
"{'Woman': 99.8486876487732, 'Man': 0.15131154796108603}",33,happy
"{'Woman': 99.94568228721619, 'Man': 0.054322811774909496}",34,happy
"{'Woman': 90.43399691581726, 'Man': 9.5660001039505}",33,happy
"{'Woman': 62.314558029174805, 'Man': 37.685444951057434}",31,happy
"{'Woman': 82.77572393417358, 'Man': 17.224277555942535}",33,happy
"{'Woman': 82.65213370323181, 'Man': 17.347872257232666}",34,happy
"{'Woman': 98.07537198066711, 'Man': 1.924629881978035}",35,surprise
"{'Woman': 91.46384000778198, 'Man': 8.536162972450256}",33,surprise
"{'Woman': 28.485044836997986, 'Man': 71.51495218276978}",31,happy
"{'Woman': 28.787636756896973, 'Man': 71.21236324310303}",33,happy
"{'Woman': 61.93032264709473, 'Man': 38.06968629360199}",33,sad
"{'Woman': 79.56998348236084, 'Man': 20.43001651763916}",29,happy
"{'Woman': 82.39684104919434, 'Man': 17.603160440921783}",28,happy
"{'Woman': 89.22855854034424, 'Man': 10.771436244249344}",34,happy
"{'Woman': 96.17007374763489, 'Man': 3.8299240171909332}",33,happy
"{'Woman': 19.108326733112335, 'Man': 80.89167475700378}",31,happy
"{'Woman': 98.08136820793152, 'Man': 1.918637752532959}",34,happy
"{'Woman': 91.11809730529785, 'Man': 8.881906419992447}",34,happy
"{'Woman': 93.86149048805237, 'Man': 6.138502806425095}",33,happy
"{'Woman': 96.03084325790405, 'Man': 3.9691537618637085}",33,happy
"{'Woman': 97.41888642311096, 'Man': 2.5811083614826202}",34,happy
"{'Woman': 95.66264152526855, 'Man': 4.337361454963684}",33,happy
"{'Woman': 98.57280850410461, 'Man': 1.4271894469857216}",33,neutral
"{'Woman': 98.42604994773865, 'Man': 1.5739571303129196}",33,neutral
"{'Woman': 17.46971309185028, 'Man': 82.53028988838196}",35,sad
"{'Woman': 83.60236883163452, 'Man': 16.397638618946075}",30,happy
